Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,2.861566,2.952673,2.731585,2.944945,2.944945,78343249
2022-04-19,2.945136,3.019183,2.900789,2.996978,2.996978,54603816
2022-04-20,2.996459,3.017349,2.859817,2.899826,2.899826,83402930
2022-04-21,2.899870,2.969998,2.767917,2.799156,2.799156,88818240
2022-04-22,2.798934,2.914809,2.771776,2.861067,2.861067,94894608
2022-04-23,2.860856,2.862935,2.777123,2.788634,2.788634,47376307
2022-04-24,2.787761,2.818772,2.717509,2.743789,2.743789,59614123
2022-04-25,2.743853,2.743853,2.615007,2.757482,2.757482,94531349
2022-04-26,2.756891,2.768547,2.609423,2.609423,2.609423,82085677
2022-04-27,2.609273,2.700746,2.549656,2.669398,2.669398,68399210
2022-04-28,2.669638,2.706903,2.614613,2.670421,2.670421,62983474
2022-04-29,2.670419,2.675570,2.514862,2.547463,2.547463,67730403
2022-04-30,2.547581,2.602434,2.338980,2.402098,2.402098,74019859
2022-05-01,2.402611,2.465941,2.361153,2.446229,2.446229,68299165
2022-05-02,2.445833,2.469105,2.292126,2.375519,2.375519,82758114
2022-05-03,2.375584,2.449693,2.309643,2.363825,2.363825,55103785
2022-05-04,2.363807,2.567681,2.359760,2.548194,2.548194,73630653
2022-05-05,2.547354,2.707699,2.307359,2.361735,2.361735,151964764
2022-05-06,2.361623,2.393237,2.276293,2.378383,2.378383,86844019
2022-05-07,2.378363,2.502000,2.310057,2.379788,2.379788,115579522
2022-05-08,2.380075,2.491143,2.380075,2.426860,2.426860,142349067
2022-05-09,2.426489,2.524745,1.920312,1.920312,1.920312,160024705
2022-05-10,1.917869,2.167533,1.899476,2.009493,2.009493,140055553
2022-05-11,2.008101,2.065484,1.629428,1.689943,1.689943,249134523
2022-05-12,1.690076,1.783105,1.399265,1.616070,1.616070,187947065
2022-05-13,1.614746,1.855371,1.601248,1.696856,1.696856,85177371
2022-05-14,1.697348,1.790143,1.595165,1.756596,1.756596,53967128
2022-05-15,1.756666,1.840949,1.715094,1.840831,1.840831,55463831
2022-05-16,1.841037,1.842009,1.665075,1.698193,1.698193,58886206
2022-05-17,1.698198,1.776260,1.679319,1.760848,1.760848,46296259
2022-05-18,1.761049,1.785536,1.600660,1.601233,1.601233,45705793
2022-05-19,1.601172,1.671069,1.548147,1.656750,1.656750,47310267
2022-05-20,1.656522,1.699609,1.594906,1.647427,1.647427,45330659
2022-05-21,1.647251,1.758393,1.617189,1.723178,1.723178,55975404
2022-05-22,1.723181,1.886307,1.696244,1.878446,1.878446,89995951
2022-05-23,1.876166,1.926366,1.759122,1.759122,1.759122,78357370
2022-05-24,1.759344,1.997756,1.751098,1.970705,1.970705,178554468
2022-05-25,1.972046,2.003673,1.879767,1.984209,1.984209,91184003
2022-05-26,1.985704,2.101748,1.715425,1.746775,1.746775,141249643
2022-05-27,1.746069,1.761048,1.649669,1.688232,1.688232,92028945
2022-05-28,1.688301,1.756588,1.688301,1.741782,1.741782,85777111
2022-05-29,1.832962,1.881611,1.790976,1.850796,1.850796,75171316
2022-05-30,1.850811,2.037230,1.840554,1.994302,1.994302,82423170
2022-05-31,1.992887,2.039959,1.896221,1.943906,1.943906,72519580
2022-06-01,1.944464,1.976933,1.807976,1.828288,1.828288,77660384
2022-06-02,1.827260,1.870216,1.752381,1.848234,1.848234,71309281
2022-06-03,1.848092,1.848489,1.752879,1.777566,1.777566,48470172
2022-06-04,1.777790,1.792371,1.724458,1.780959,1.780959,44827073
2022-06-05,1.781194,1.854825,1.750434,1.821207,1.821207,43012215
2022-06-06,1.821939,2.011355,1.819363,1.930387,1.930387,76467536
2022-06-07,1.930255,2.048804,1.841119,1.936513,1.936513,202871460
2022-06-08,1.936291,2.006982,1.868828,1.948714,1.948714,111457752
2022-06-09,1.949123,2.121382,1.929627,2.094334,2.094334,131353486
2022-06-10,2.094047,2.178534,1.874549,1.874549,1.874549,147565968
2022-06-11,1.874350,1.960479,1.706777,1.714997,1.714997,118255656
2022-06-12,1.715202,1.752302,1.557441,1.571071,1.571071,105824712
2022-06-13,1.569727,1.569727,1.295478,1.337955,1.337955,147757864
2022-06-14,1.338750,1.395751,1.242733,1.391734,1.391734,97559469
2022-06-15,1.391235,1.457393,1.245723,1.457393,1.457393,99249360
2022-06-16,1.458381,1.469615,1.284168,1.287169,1.287169,110866996
2022-06-17,1.287469,1.388677,1.280491,1.321885,1.321885,57501646
2022-06-18,1.321792,1.345905,1.144307,1.227427,1.227427,65501826
2022-06-19,1.227249,1.344634,1.158939,1.324398,1.324398,59074595
2022-06-20,1.324281,1.385011,1.257539,1.376995,1.376995,54947667
2022-06-21,1.376768,1.437043,1.330397,1.346895,1.346895,68042845
2022-06-22,1.349221,1.354533,1.266799,1.273429,1.273429,46629625
2022-06-23,1.273311,1.373738,1.269011,1.369156,1.369156,42518434
2022-06-24,1.369074,1.490309,1.368104,1.455426,1.455426,51807083
2022-06-25,1.455376,1.491684,1.385288,1.459132,1.459132,38771383
2022-06-26,1.459363,1.506641,1.367863,1.368539,1.368539,38268248
2022-06-27,1.367412,1.545448,1.366121,1.511588,1.511588,99953260
2022-06-28,1.511121,1.586418,1.441715,1.443770,1.443770,88933360
2022-06-29,1.443703,1.481337,1.403293,1.410493,1.410493,51369975
2022-06-30,1.411131,1.418902,1.293669,1.351925,1.351925,48324029
2022-07-01,1.354701,1.396768,1.277725,1.317159,1.317159,58242840
2022-07-02,1.317854,1.440046,1.309636,1.396768,1.396768,93610847
2022-07-03,1.396607,1.405112,1.343110,1.386867,1.386867,44404713
2022-07-04,1.387050,1.495162,1.378758,1.473705,1.473705,54214808
2022-07-05,1.473371,1.486935,1.398495,1.433794,1.433794,49081075
2022-07-06,1.434317,1.530598,1.424601,1.519403,1.519403,48747105
2022-07-07,1.519200,1.564949,1.505683,1.544711,1.544711,56316722
2022-07-08,1.544729,1.566899,1.485190,1.505976,1.505976,50814596
2022-07-09,1.505354,1.614762,1.503147,1.596310,1.596310,72105521
2022-07-10,1.596104,1.629782,1.516434,1.603250,1.603250,52554434
2022-07-11,1.603352,1.692892,1.562401,1.567111,1.567111,121241023
2022-07-12,1.567335,1.612821,1.426588,1.429723,1.429723,71590097
2022-07-13,1.430150,1.512934,1.403937,1.512934,1.512934,68411220
2022-07-14,1.513016,1.575088,1.465452,1.559541,1.559541,50253770
2022-07-15,1.559892,1.604980,1.550846,1.563439,1.563439,50372111
2022-07-16,1.562979,1.616806,1.529244,1.587240,1.587240,30918818
2022-07-17,1.587426,1.623280,1.555808,1.559213,1.559213,38435722
2022-07-18,1.559003,1.715701,1.557345,1.708864,1.708864,66172110
2022-07-19,1.707511,1.743751,1.643862,1.703040,1.703040,64680101
2022-07-20,1.703087,1.735189,1.581119,1.591648,1.591648,75060351
2022-07-21,1.591701,1.647535,1.536509,1.640666,1.640666,51276099
2022-07-22,1.640530,1.714705,1.583227,1.602416,1.602416,45818168
2022-07-23,1.601842,1.646081,1.574166,1.618619,1.618619,34991705
2022-07-24,1.618846,1.682165,1.618117,1.649572,1.649572,43761425
2022-07-25,1.650001,1.651320,1.481307,1.481601,1.481601,45445036
2022-07-26,1.481511,1.534287,1.450578,1.534287,1.534287,59089850
2022-07-27,1.534680,1.609000,1.507872,1.609000,1.609000,59641677
2022-07-28,1.609112,1.712315,1.588611,1.686073,1.686073,64882297
2022-07-29,1.686165,1.731757,1.638539,1.672515,1.672515,60596948
2022-07-30,1.671888,1.816996,1.671389,1.772083,1.772083,92188379
2022-07-31,1.772191,1.804822,1.700945,1.704395,1.704395,57024885
2022-08-01,1.704524,1.798859,1.699848,1.771355,1.771355,52935918
2022-08-02,1.771145,1.781176,1.639140,1.689356,1.689356,53519303
2022-08-03,1.689986,1.757865,1.644129,1.691736,1.691736,36666294
2022-08-04,1.691874,1.809551,1.689950,1.775328,1.775328,66698962
2022-08-05,1.774483,1.840629,1.771757,1.829830,1.829830,44592808
2022-08-06,1.829970,1.863345,1.812749,1.841952,1.841952,29832219
2022-08-07,1.842543,1.896301,1.810903,1.855861,1.855861,27572438
2022-08-08,1.856063,1.910364,1.841818,1.855053,1.855053,41766404
